quarter,pchange_gdpgrowth,10year_expinflationrate,avg_activelistings,interestrates,medianhouseprice,avg_mortgagerate,p_unemploy_discouraged,govexpenditure_billion,s&p500,medianhouseholdincome,housingaffordability
Q3 '16,2.4,1.66854375,1455379,0.2027529,303800,3.446153846,5.2,457.514,2162.06,73520,93.63146181
Q4 '16,2,1.80552583,1327795,0.44562091,310900,3.842307692,5.1,460.184,2184.88,73520,82.05997356
Q1 '17,1.7,1.91043834,1159317,0.80551189,313100,4.173076923,4.9,460.669,2325.93,74810,76.34119143
Q2 '17,2,1.80944289,1248216,0.75942464,318200,3.98,4.6,471.214,2397.97,74810,78.76171134
Q3 '17,3.4,1.83625513,1318874,0.65369631,320500,3.883846154,4.6,481.457,2467.17,74810,80.13243484
Q4 '17,4.1,1.94304708,1214399,0.6847944,337900,3.922307692,4.5,493.441,2603.28,74810,75.26074966
Q1 '18,2.8,1.99999744,1052128,0.99726438,331800,4.282307692,4.3,507.619,2733.48,75790,71.12076068
Q2 '18,2.8,2.04062814,1158492,1.15872476,315600,4.544615385,4.2,531.778,2703.13,75790,70.45576175
Q3 '18,2.9,2.12407757,1283168,1.18087408,330900,4.566923077,4.1,551.891,2849.60,75790,66.86982396
Q4 '18,0.7,2.13743458,1254531,1.28791727,322800,4.784615385,4.1,571.229,2698.93,75790,65.42897025
Q1 '19,2.2,1.87369886,1109745,0.87527495,313000,4.373846154,4.1,579.714,2721.00,81210,79.09342941
Q2 '19,2.7,1.72902869,1179308,0.46067806,322500,4.010769231,3.9,586.409,2882.33,81210,83.7126044
Q3 '19,3.6,1.63188092,1233219,0.36520973,318400,3.658461538,3.8,578.256,2957.85,81210,92.95584315
Q4 '19,1.8,1.67862185,1128510,0.43873377,327100,3.7,3.7,564.241,3082.76,81210,89.46763945
Q1 '20,-4.6,1.54115205,939112,0.23108155,329000,3.521538462,4.1,544.125,3055.87,79560,91.55987203
Q2 '20,-29.9,1.18418641,913886,-0.09771677,317100,3.239230769,13.4,514.787,2931.69,79560,103.2750419
Q3 '20,35.3,1.34628517,783929,-0.36527181,327900,2.952307692,9.2,508.165,3319.83,79560,109.5797932
Q4 '20,3.9,1.37711358,676720,-0.24600518,338600,2.760714286,7.1,517.026,3554.50,79560,113.4815071
Q1 '21,6.3,1.43480114,479094,-0.15111138,355000,2.875833333,6.6,534.023,3865.71,79260,103.5143927
Q2 '21,7,1.58592953,458583,0.04977656,367800,3.003846154,6.3,561.224,4183.63,79260,95.65405682
Q3 '21,2.7,1.61591987,566464,-0.14023619,395200,2.872142857,5.4,588.462,4421.67,79260,93.10431973
Q4 '21,7,1.71007035,507750,0.1145294,414000,3.079230769,4.4,612.643,4602.11,79260,82.89917828
Q1 '22,-1.6,1.88830053,359165,0.36939264,413500,3.822307692,4.1,637.093,4463.86,77540,65.41289571
Q2 '22,-0.6,2.32763752,477696,1.05946385,437700,5.266153846,3.9,684.952,4105.67,77540,44.85330446
Q3 '22,3.2,2.22938466,716642,1.04068297,438000,5.623076923,3.8,752.730,3980.35,77540,41.97748336
Q4 '22,2.6,2.34828554,727955,1.76805674,442600,6.664615385,3.8,824.592,3851.97,77540,35.04919376
Q1 '23,2.2,2.21665761,586191,1.7543125,429000,6.372307692,3.7,863.748,4000.06,80610,39.31638939
Q2 '23,2.1,2.00706652,586577,1.34714966,418500,6.510769231,3.8,896.662,4206.07,80610,39.44572049
Q3 '23,4.9,2.14166562,673105,1.57595008,435400,7.04,3.9,968.382,4458.14,80610,35.06441308
Q4 '23,3.4,2.34172911,735915,1.95256282,423200,7.303846154,4.0,1030.742,4464.91,80610,34.77205693
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,.,,,,
